datetime,ask,bid
10.01.2021 00:00:00.039,14729.651000000002,14726.178999999998
10.01.2021 00:00:00.089,14729.591,14726.149
10.01.2021 00:00:00.184,14727.611,14724.188999999998
10.01.2021 00:00:00.234,14727.631000000001,14724.149
10.01.2021 00:00:00.344,14727.673,14724.589
10.01.2021 00:00:00.394,14728.051000000001,14724.579
10.01.2021 00:00:00.504,14727.813,14725.018999999998
10.01.2021 00:00:00.554,14728.521,14725.089
10.01.2021 00:00:00.663,14728.533000000001,14725.999
10.01.2021 00:00:00.714,14729.231000000002,14725.719
10.01.2021 00:00:00.827,14727.641000000001,14724.208999999999
10.01.2021 00:00:00.877,14727.681,14724.169
10.01.2021 00:00:00.983,14727.133,14724.128999999999
10.01.2021 00:00:01.034,14727.081,14723.708999999999
10.01.2021 00:00:01.295,14727.183,14723.829
10.01.2021 00:00:01.396,14726.871000000001,14723.389
10.01.2021 00:00:01.499,14726.883,14724.559
10.01.2021 00:00:01.549,14728.051000000001,14724.788999999999
10.01.2021 00:00:01.649,14728.621000000001,14725.128999999999
10.01.2021 00:00:01.956,14728.321000000002,14724.868999999999
10.01.2021 00:00:02.774,14728.313,14725.028999999999
10.01.2021 00:00:02.825,14728.531,14725.038999999999
10.01.2021 00:00:02.946,14728.141000000001,14724.669
10.01.2021 00:00:03.425,14728.153,14725.038999999999
10.01.2021 00:00:03.475,14728.531,14725.089
10.01.2021 00:00:03.606,14728.161,14724.618999999999
10.01.2021 00:00:03.744,14728.113000000001,14725.128999999999
10.01.2021 00:00:03.794,14728.681,14725.118999999999
10.01.2021 00:00:04.065,14727.891000000001,14724.319
10.01.2021 00:00:04.115,14727.791000000001,14724.329
10.01.2021 00:00:04.597,14728.111,14724.628999999999
10.01.2021 00:00:04.772,14727.891000000001,14724.409
10.01.2021 00:00:04.926,14728.131000000001,14724.669
10.01.2021 00:00:05.063,14727.871000000001,14724.399
10.01.2021 00:00:05.114,14727.811000000002,14724.409
10.01.2021 00:00:05.489,14727.641000000001,14724.327
10.01.2021 00:00:05.539,14727.651000000002,14724.169
10.01.2021 00:00:05.649,14727.201000000001,14723.729
10.01.2021 00:00:05.700,14727.201000000001,14723.778999999999
10.01.2021 00:00:05.970,14726.851,14723.329
10.01.2021 00:00:06.020,14726.791000000001,14723.389
10.01.2021 00:00:06.129,14726.873,14724.038999999999
10.01.2021 00:00:06.179,14727.581,14724.038999999999
10.01.2021 00:00:06.290,14727.483,14724.368999999999
10.01.2021 00:00:06.340,14727.811000000002,14724.358999999999
10.01.2021 00:00:06.464,14727.803,14725.229
10.01.2021 00:00:06.514,14728.741000000002,14725.249
10.01.2021 00:00:06.636,14728.503,14725.348999999998
10.01.2021 00:00:06.686,14728.781,14725.319
10.01.2021 00:00:06.782,14728.551000000001,14725.028999999999
10.01.2021 00:00:06.832,14728.501,14725.028999999999
10.01.2021 00:00:06.944,14728.513,14725.618999999999
10.01.2021 00:00:06.995,14729.041000000001,14725.528999999999
10.01.2021 00:00:07.263,14729.033000000001,14726.098999999998
10.01.2021 00:00:07.314,14729.521,14726.089
10.01.2021 00:00:07.582,14729.361,14726.087
10.01.2021 00:00:07.632,14729.291000000001,14725.868999999999
10.01.2021 00:00:07.742,14729.323,14726.548999999999
10.01.2021 00:00:07.792,14730.051000000001,14726.518999999998
10.01.2021 00:00:07.900,14729.601,14726.577
10.01.2021 00:00:07.951,14729.841,14726.368999999999
10.01.2021 00:00:08.060,14729.603000000001,14727.008999999998
10.01.2021 00:00:08.111,14730.561000000002,14727.069
10.01.2021 00:00:08.228,14730.761,14727.268999999998
10.01.2021 00:00:09.131,14730.531,14727.207
10.01.2021 00:00:09.182,14730.311000000002,14727.098999999998
10.01.2021 00:00:09.293,14730.563,14727.128999999999
10.01.2021 00:00:09.344,14730.641000000001,14727.118999999999
10.01.2021 00:00:09.455,14730.633,14727.268999999998
10.01.2021 00:00:09.505,14730.791000000001,14727.249
10.01.2021 00:00:09.613,14730.311000000002,14727.098999999998
10.01.2021 00:00:09.663,14730.371000000001,14726.848999999998
10.01.2021 00:00:09.772,14730.363000000001,14727.048999999999
10.01.2021 00:00:09.823,14730.301000000001,14727.069
10.01.2021 00:00:10.386,14730.543,14727.389
10.01.2021 00:00:10.437,14730.631000000001,14727.159
10.01.2021 00:00:10.746,14730.321000000002,14726.848999999998
10.01.2021 00:00:10.797,14730.351,14727.098999999998
10.01.2021 00:00:11.089,14730.303,14727.389
10.01.2021 00:00:11.139,14730.611,14727.149
10.01.2021 00:00:11.249,14730.593,14727.698999999999
10.01.2021 00:00:11.300,14731.181,14727.628999999999
10.01.2021 00:00:12.552,14730.791000000001,14727.368999999999
10.01.2021 00:00:12.603,14730.851,14727.589
10.01.2021 00:00:13.310,14730.873,14727.719
10.01.2021 00:00:13.361,14731.001,14727.778999999999
10.01.2021 00:00:13.509,14731.291000000001,14727.909
10.01.2021 00:00:13.628,14731.353000000001,14728.178999999998
10.01.2021 00:00:13.678,14731.671,14728.188999999998
10.01.2021 00:00:13.840,14731.311000000002,14728.069
10.01.2021 00:00:13.965,14731.543,14728.389
